Acres_burned,Fire_cause,FireDiscoveryDateTime,FireOutDateTime,IncidentName,Latitude,Longitude,County,Country,State,Fire_duration,Month,Month_name
10,Lightning,2021/07/03 17:54:00+00,2021/07/11 00:00:00+00,Wood Canyon,42.66964,-111.7121,Caribou,US,ID,7,7,Jul
58,Undetermined,2021/07/05 21:20:59+00,2021/08/03 14:00:00+00,Abbot,46.88469,-104.7124,Dawson,US,MT,29,7,Jul
5,Lightning,2021/07/03 16:43:00+00,2021/07/05 02:00:00+00,Catchall,43.13506,-114.9522,Gooding,US,ID,1,7,Jul
0,Lightning,2021/07/03 21:56:00+00,2021/07/04 18:00:00+00,McMullen,42.41785,-114.4216,Twin Falls,US,ID,1,7,Jul
1,Other Human Cause,2021/07/04 03:16:23+00,2021/08/02 15:08:00+00,Summer,42.97871,-120.7677,Lake,US,OR,29,7,Jul
39,Lightning,2021/07/03 18:46:59+00,2021/07/15 19:21:29+00,Pan ,38.41117,-119.2492,Mono,US,CA,12,7,Jul
0,Undetermined,2021/07/04 04:47:59+00,2021/07/04 16:49:00+00,MESQUITE,36.24806,-116.0851,Nye,US,NV,0,7,Jul
5409,Other Human Cause,2021/07/03 17:19:59+00,2021/07/16 02:00:00+00,Castleford Butte,42.54762,-114.9869,Twin Falls,US,ID,12,7,Jul
0,Other Human Cause,2021/07/04 03:59:59+00,2021/07/05 20:29:59+00,Merritt,44.13766,-103.2997,Pennington,US,SD,2,7,Jul
2,Lightning,2021/07/04 19:26:00+00,2021/07/07 20:00:00+00,Grass River,66.56523,-144.5068,Yukon-Koyukuk,US,AK,3,7,Jul
1,Other Human Cause,2021/07/05 03:35:00+00,2021/07/10 05:00:00+00,MULE ,35.8169,-115.6313,Clark,US,NV,5,7,Jul
2,Other Human Cause,2021/07/05 00:13:00+00,2021/07/15 23:00:00+00,SLOAN EAST,35.87954,-115.2127,Clark,US,NV,11,7,Jul
279,Firearms/Weapons,2021/07/01 23:53:00+00,2021/08/24 00:00:00+00,Stuart Creek,64.72115,-146.541,Fairbanks North Star,US,AK,53,7,Jul
21,Lightning,2021/07/02 23:38:00+00,2021/07/15 00:59:59+00,Boyd,41.72524,-118.6322,Humboldt,US,NV,12,7,Jul
0,Other Human Cause,2021/07/05 04:26:00+00,2021/07/05 15:00:00+00,HOLLYWOOD SOUTH,36.45778,-115.1976,Clark,US,NV,0,7,Jul
23,Debris/Open Burning,2021/05/18 20:32:00+00,2021/06/28 16:44:59+00,Green Box,48.49355,-114.5291,Flathead,US,MT,41,5,May
0,Other Human Cause,2021/07/05 01:52:22+00,2021/07/05 22:36:51+00,Ridge Line,61.56028,-149.55756,Matanuska-Susitna,US,AK,1,7,Jul
2,Other Human Cause,2021/07/05 02:42:29+00,2021/07/15 22:45:02+00,Lichen,62.039573,-150.054228,Matanuska-Susitna,US,AK,11,7,Jul
101,Undetermined,2021/07/04 20:29:59+00,2021/08/25 21:48:00+00,4th of July Creek,45.459167,-108.556333,Yellowstone,US,MT,52,7,Jul
4,Lightning,2021/07/05 00:30:00+00,2021/08/04 20:15:41+00,WATT,44.13233,-104.9733,Weston,US,WY,31,7,Jul
1,Incendiary,2021/07/05 03:25:00+00,2021/07/18 21:30:00+00,Schomer CA,44.33994,-100.3784,Stanley,US,SD,14,7,Jul
0,Other Human Cause,2021/07/05 03:43:16+00,2021/07/05 20:29:59+00,Saratoga,44.14097,-103.3008,Pennington,US,SD,1,7,Jul
2,Lightning,2021/07/01 23:58:05+00,2021/07/21 16:52:00+00,T Spring,42.75516,-120.9677,Klamath,US,OR,20,7,Jul
1,Undetermined,2021/07/05 19:52:00+00,2021/07/31 15:20:00+00,River,47.55255,-93.97797,Itasca,US,MN,26,7,Jul
1,Lightning,2021/07/02 16:07:09+00,2021/07/29 21:49:59+00,Gold Run,43.81394,-114.9421,Camas,US,ID,27,7,Jul
55,Lightning,2021/06/18 20:58:59+00,2021/07/08 16:57:59+00,Mud Creek 2,37.27401,-108.7135,Montezuma,US,CO,20,6,Jun
147,Cause not found,2021/06/30 01:18:21+00,2021/07/09 21:59:59+00,Dungan,33.4442,-111.121,Pinal,US,AZ,10,6,Jun
3,Other Human Cause,2021/07/06 06:13:00+00,2021/07/18 18:20:00+00,RYE GRASS COULEE,46.42942,-118.8879,Franklin,US,WA,12,7,Jul
1487,Other Human Cause,2021/06/19 19:44:59+00,2021/07/06 15:59:59+00,BIG DITCH,34.937683,-76.34835,Carteret,US,NC,17,6,Jun
16,Lightning,2021/07/05 18:52:00+00,2021/07/18 21:00:00+00,Hatch Mountain,37.6562,-112.4396,Garfield,US,UT,13,7,Jul
11,Cause not found,2021/07/05 13:44:00+00,2021/07/20 19:47:00+00,TANGLE,41.2056,-122.7427,Trinity,US,CA,15,7,Jul
0,Other Human Cause,2021/07/05 05:20:23+00,2021/07/05 21:20:00+00,Lutheran Camp Rd,47.97483,-114.1858,Flathead,US,MT,1,7,Jul
0,Undetermined,2021/07/03 18:17:53+00,2021/07/03 19:47:00+00,Shawnee Drive,48.09576,-114.0865,Flathead,US,MT,0,7,Jul
2,Other Human Cause,2021/07/01 19:54:00+00,2021/07/27 18:59:59+00,Dolly Mine,41.98133,-113.9244,Box Elder,US,UT,26,7,Jul
0,Other Human Cause,2021/07/05 04:26:44+00,2021/07/05 22:46:00+00,Badger Lane,48.20016,-114.4187,Flathead,US,MT,1,7,Jul
0,Other Human Cause,2021/07/05 06:05:29+00,2021/07/05 21:33:00+00,Connie Lou Lane,48.38402,-114.1823,Flathead,US,MT,1,7,Jul
0,Smoking,2021/07/06 21:51:31+00,2021/07/11 22:46:00+00,Lore Lake Rd,48.32498,-114.4322,Flathead,US,MT,5,7,Jul
603,Lightning,2021/06/20 22:36:00+00,2021/07/06 23:03:00+00, Bullard,32.70885,-108.538,Grant,US,NM,16,6,Jun
2,Other Human Cause,2021/07/07 01:56:00+00,2021/07/20 18:30:00+00,100 ACRE RD,47.25343,-120.0877,Douglas,US,WA,14,7,Jul
95,Lightning,2021/07/05 20:47:00+00,2021/07/10 21:59:59+00,RACCOON RIDGE,44.26928,-105.2814,Campbell,US,WY,5,7,Jul
1,Other Human Cause,2021/06/30 00:00:00+00,2021/06/30 01:30:00+00,Reservoir,44.43747,-103.4816,Meade,US,SD,0,6,Jun
148,Lightning,2021/07/06 19:02:00+00,2021/08/10 18:41:00+00,Triple Frog,47.3178,-107.960417,Petroleum,US,MT,35,7,Jul
0,Lightning,2021/07/06 15:50:20+00,2021/07/16 21:00:00+00,Boundary,44.15317,-114.8773,Custer,US,ID,10,7,Jul
0,Equipment,2021/07/06 18:59:59+00,2021/07/09 00:00:00+00,Sycamore,35.7837,-114.5209,Mohave,US,AZ,2,7,Jul
2152,Lightning,2021/07/03 21:08:00+00,2021/07/20 02:00:00+00,Inside Lakes,42.47641,-42.32486,Owyhee,US,ID,16,7,Jul
0,Undetermined,2021/07/06 16:33:00+00,2021/07/17 16:29:37+00,Woodys 2,34.15813,-114.2909,La Paz,US,AZ,11,7,Jul
6,Lightning,2021/07/05 17:51:00+00,2021/08/03 14:00:00+00,Belcher,45.13023,-104.9874,Carter,US,MT,29,7,Jul
0,Other Human Cause,2021/07/07 01:47:59+00,2021/07/12 00:59:59+00,West Oak,37.60947,-114.7076,Lincoln,US,NV,5,7,Jul
1,Lightning,2021/07/06 20:51:00+00,2021/07/17 19:52:00+00,Hawk,47.746083,-109.039417,Fergus,US,MT,11,7,Jul
0,Lightning,2021/07/06 19:52:00+00,2021/07/14 19:20:00+00,Two Calf,47.673717,-108.846717,Fergus,US,MT,8,7,Jul
3,Lightning,2021/07/06 20:10:10+00,2021/07/19 13:30:00+00,Tram,34.61094,-93.12793,Garland,US,AR,13,7,Jul
122,Lightning,2021/07/04 23:35:00+00,2021/08/02 14:00:00+00,Taylor Hill,45.63635,-104.4258,Carter,US,MT,29,7,Jul
15,Lightning,2021/06/24 00:57:04+00,2021/07/04 18:14:59+00,1-4 BIZZ,40.397467,-120.772617,Lassen,US,CA,11,6,Jun
662,Lightning,2021/06/20 18:29:00+00,2021/07/05 00:00:00+00,Horsecorn,39.576667,-109.741389,Uintah,US,UT,14,6,Jun
2,Lightning,2021/07/05 21:30:00+00,2021/08/03 14:00:00+00,Maverick,45.62199,-104.2421,Carter,US,MT,29,7,Jul
