Acres_burned,Fire_cause,FireDiscoveryDateTime,FireOutDateTime,IncidentName,Latitude,Longitude,County,Country,State,Fire_duration,Month,Month_name
1,Cause not found,2021/03/07 07:08:00+00,2021/03/09 00:59:59+00,BEACH,34.4559,-114.3719,Mohave,US,AZ,2,3,Mar
2,Debris/Open Burning,2021/03/20 22:10:00+00,2021/04/16 17:00:00+00,MCCLUNG,34.60244,-98.68604,Comanche,US,OK,27,3,Mar
101,Debris/Open Burning,2021/03/09 01:30:00+00,2021/03/09 07:20:00+00,MARTIN,34.91935,-95.1033,Latimer,US,OK,0,3,Mar
16,Utilities,2021/01/29 23:12:00+00,2021/01/30 17:48:59+00,OREGON BASIN,44.38801,-108.9772,Park,US,WY,1,1,Jan
45,Other Human Cause,2021/02/18 03:20:00+00,2021/03/05 15:59:59+00,WETLANDS,36.09058,-115.0345,Clark,US,NV,16,2,Feb
5,Camping,2021/03/12 19:44:00+00,2021/03/31 14:24:00+00,Lake Catherine 2,29.05793,-81.83696,Marion,US,FL,19,3,Mar
13,Incendiary,2021/02/04 05:29:59+00,2021/02/20 18:00:00+00,LUTIE,34.89812,-95.26555,Latimer,US,OK,16,2,Feb
0,Other Human Cause,2021/03/19 17:31:00+00,2021/03/21 18:00:00+00,Sierra,25.42499,-80.78468,Miami-Dade,US,FL,2,3,Mar
1,Firearms/Weapons,2021/02/11 17:48:59+00,2021/02/21 18:59:59+00,Penrose,38.7946,-104.8999,Teller,US,CO,10,2,Feb
7,Incendiary,2021/03/11 22:34:59+00,2021/03/19 15:00:00+00,65,35.25705,-95.09035,Haskell,US,OK,8,3,Mar
162,Other Human Cause,2021/02/13 23:42:59+00,2021/02/22 15:59:59+00,MULBERRY,31.84475,-110.7289,Pima,US,AZ,9,2,Feb
25,Other Human Cause,2021/03/07 21:20:00+00,2021/03/17 19:47:00+00,Hollow,36.70221,-92.1424,Ozark,US,MO,10,3,Mar
14,Other Human Cause,2021/03/08 13:05:59+00,2021/03/31 15:00:00+00,Stephens Knob,36.61083,-84.35006,McCreary,US,KY,23,3,Mar
1,Equipment,2021/03/16 14:28:00+00,2021/03/18 18:49:59+00,Logging,31.55494,-92.59896,Grant,US,LA,2,3,Mar
0,Firearms/Weapons,2021/03/06 23:35:59+00,2021/03/08 20:00:00+00,Desolation,40.72304,-113.2888,Tooele,US,UT,2,3,Mar
5,Other Human Cause,2021/03/14 00:00:00+00,2021/03/22 21:00:00+00,ROMAN,29.11693,-103.6698, ,MX,CH,9,3,Mar
1,Other Human Cause,2021/03/17 22:34:59+00,2021/03/31 21:30:00+00,Haun,45.36282,-108.5627,Big Horn,US,MT,14,3,Mar
183,Other Human Cause,2021/02/05 15:10:00+00,2021/04/17 15:00:00+00,Salt Springs,29.31665,-81.7909,Marion,US,FL,71,2,Feb
0,Debris/Open Burning,2021/03/18 20:15:25+00,2021/03/23 15:30:00+00,Ellsworth,48.02863,-114.227,Flathead,US,MT,5,3,Mar
2,Other Human Cause,2021/01/19 21:41:00+00,2021/01/24 16:15:59+00,Bilderback,29.02908,-81.49379,Lake,US,FL,5,1,Jan
7,Incendiary,2021/03/08 21:00:00+00,2021/03/09 00:59:59+00,BRUSHY,34.6404,-95.79543,Pittsburg,US,OK,0,3,Mar
0,Other Human Cause,2021/02/23 22:33:00+00,2021/04/20 15:55:00+00,0024 RS ,44.09085,-121.124,Deschutes,US,OR,56,2,Feb
20,Other Human Cause,2021/03/01 21:53:00+00,2021/03/04 19:11:00+00,Thousand Springs,42.97247,-120.7757,Lake,US,OR,3,3,Mar
12,Cause not found,2021/03/09 19:21:59+00,2021/03/17 22:05:00+00,Tire,37.48595,-92.13701,Texas,US,MO,8,3,Mar
3,Debris/Open Burning,2021/03/10 16:28:00+00,2021/03/16 17:00:00+00,Little Creek,34.15483,-94.73421,McCurtain,US,OK,6,3,Mar
17,Debris/Open Burning,2021/03/08 16:41:00+00,2021/03/12 20:48:59+00,Tyler 10:41,30.671,-94.259,Tyler,US,TX,4,3,Mar
52,Debris/Open Burning,2021/03/07 03:52:00+00,2021/03/13 19:28:59+00,Booth ,37.710278,-92.385556,Laclede,US,MO,7,3,Mar
17,Firearms/Weapons,2021/01/15 20:31:00+00,2021/01/25 15:57:00+00,Pipe,33.30744,-111.2463,Pinal,US,AZ,10,1,Jan
2600,Cause not found,2021/03/09 01:10:00+00,2021/03/17 17:02:00+00,Melder 1,31.1181,-92.56084,Rapides,US,LA,9,3,Mar
9,Cause not found,2021/03/02 21:33:00+00,2021/03/07 19:28:59+00,BLACKBERRY,31.467,-109.7319,Cochise,US,AZ,5,3,Mar
12,Debris/Open Burning,2021/03/07 18:20:59+00,2021/03/17 19:43:00+00,412,36.89933,-92.04221,Howell,US,MO,10,3,Mar
367,Cause and Origin Not Identified,2021/03/09 18:59:59+00,2021/03/10 18:00:00+00,MARAMEC,36.24688,-96.64436,Pawnee,US,OK,1,3,Mar
86,Debris/Open Burning,2021/03/14 02:53:00+00,2021/03/21 23:10:00+00,GRAPEVINE,35.71001,-117.8398,Kern,US,CA,8,3,Mar
4,Debris/Open Burning,2021/03/05 21:42:00+00,2021/03/22 18:40:00+00,Rockerville,43.9805,-103.3724,Pennington,US,SD,17,3,Mar
60,Other Human Cause,2021/02/24 14:19:59+00,2021/02/28 18:32:00+00,Rockhouse,36.66667,-93.70779,Barry,US,MO,4,2,Feb
0,Other Human Cause,2021/02/21 15:35:00+00,2021/03/05 15:59:59+00,WETLANDS 4,36.10454,-115.0194,Clark,US,NV,12,2,Feb
2,Other Human Cause,2021/02/15 16:34:59+00,2021/03/04 17:00:00+00,Mahogany Rd ,25.32855,-80.83278,Miami-Dade,US,FL,17,2,Feb
3,Other Human Cause,2021/03/12 11:57:00+00,2021/03/31 15:00:00+00,Hayes Creek,36.61623,-84.35667,McCreary,US,KY,19,3,Mar
0,Other Human Cause,2021/02/21 15:22:00+00,2021/03/05 15:59:59+00,WETLANDS 3,36.10465,-115.0234,Clark,US,NV,12,2,Feb
32,Investigated but Undetermined,2021/03/12 16:55:00+00,2021/03/18 19:10:00+00,Hillside,31.70327,-92.48683,Grant,US,LA,6,3,Mar
218,Investigated but Undetermined,2021/03/11 20:58:00+00,2021/03/22 12:59:59+00,TL Sycamore,33.20678,-86.12267,Talladega,US,AL,11,3,Mar
3,Other Human Cause,2021/03/02 20:19:00+00,2021/04/20 18:59:59+00,Delta,25.41881,-80.6428,Miami-Dade,US,FL,49,3,Mar
19,Other Human Cause,2021/03/04 22:02:59+00,2021/03/13 17:48:59+00,Church,36.70898,-92.86788,Taney,US,MO,9,3,Mar
38,Cause not found,2021/03/09 22:43:00+00,2021/03/12 23:45:00+00,Shelly,31.09974,-92.50901,Rapides,US,LA,3,3,Mar
4,Other Human Cause,2021/03/04 16:57:59+00,2021/04/05 20:19:59+00,Maple Grove,29.01977,-81.55086,Lake,US,FL,32,3,Mar
9,Cause not found,2021/03/19 20:13:59+00,2021/03/26 20:00:00+00,SHARPSHOOTER ,31.50625,-110.0481,Cochise,US,AZ,7,3,Mar
75,Other Human Cause,2021/03/02 21:03:00+00,2021/03/06 00:59:59+00,SHRIMP,32.97091,-112.6885,Maricopa,US,AZ,3,3,Mar
0,Debris/Open Burning,2021/03/07 19:57:59+00,2021/03/17 19:50:00+00,Natural,37.5093,-92.1876,Texas,US,MO,10,3,Mar
0,Cause not found,2021/03/21 03:59:59+00,2021/03/21 16:05:59+00,SCHOOL,31.4669,-109.6971,Cochise,US,AZ,0,3,Mar
10,Incendiary,2021/02/03 15:49:00+00,2021/02/09 15:59:59+00,Round Top,31.48707,-90.72684,Franklin,US,MS,6,2,Feb
13,Other Human Cause,2021/03/12 13:18:59+00,2021/03/31 15:00:00+00,Anderson,36.60569,-84.32008,McCreary,US,KY,19,3,Mar
133,Other Human Cause,2021/01/22 01:15:00+00,2021/03/02 17:40:00+00,Long Pond,29.09738,-81.81277,Marion,US,FL,40,1,Jan
8,Camping,2021/03/14 19:28:59+00,2021/03/22 12:59:59+00,TL Sherman Cliffs,33.27583,-86.08592,Clay,US,AL,8,3,Mar
5,Firearms/Weapons,2021/01/06 17:57:00+00,2021/01/25 15:57:00+00,Comet,33.28834,-111.2607,Pinal,US,AZ,19,1,Jan
3,Camping,2021/02/03 00:24:00+00,2021/02/22 19:30:00+00,Lake Catherine,29.06938,-81.8305,Marion,US,FL,20,2,Feb
30,Undetermined,2021/03/17 22:31:00+00,2021/04/20 18:59:59+00,Foxtrot,25.3979,-80.66795,Miami-Dade,US,FL,34,3,Mar
20,Cause not found,2021/02/22 02:08:00+00,2021/02/24 17:00:00+00,Betsy,47.17305,-103.339467,Billings,US,ND,3,2,Feb
24,Cause not found,2021/03/08 15:35:00+00,2021/03/17 19:47:59+00,Gutherie,36.75045,-92.811,Taney,US,MO,9,3,Mar
5,Other Human Cause,2021/03/21 20:29:00+00,2021/04/05 14:35:00+00,Marilla,44.36184,-85.85038,Manistee,US,MI,15,3,Mar
491,Cause not found,2021/03/08 21:36:00+00,2021/03/15 15:59:59+00,Tin Top,36.87795,-92.94804,Christian,US,MO,7,3,Mar
19,Debris/Open Burning,2021/03/01 21:13:00+00,2021/03/03 18:40:00+00,Quarry Rd,38.96251,-111.8465,Sevier,US,UT,2,3,Mar
122,Other Human Cause,2021/02/21 21:13:00+00,2021/03/08 15:40:00+00,Syracuse,29.16966,-81.56843,Putnam,US,FL,15,2,Feb
240,Equipment,2021/03/08 20:11:00+00,2021/03/16 20:45:00+00,Railroad Ridge,34.73068,-94.70335,Le Flore,US,OK,8,3,Mar
16162,Cause not found,2021/01/14 22:33:00+00,2021/02/08 14:00:00+00,Windy,46.00258,-102.3431,Adams,US,ND,25,1,Jan
1,Cause not found,2021/03/10 00:20:00+00,2021/03/12 23:45:00+00,Range,31.09833,-92.6229,Rapides,US,LA,3,3,Mar
7,Cause not found,2021/03/09 03:09:00+00,2021/03/10 18:40:00+00,Late,31.07448,-92.58439,Rapides,US,LA,2,3,Mar
8,Incendiary,2021/03/13 23:51:00+00,2021/03/18 15:59:59+00,SC Nances Creek,33.87096,-85.63305,Calhoun,US,AL,5,3,Mar
1,Cause not found,2021/03/04 20:58:59+00,2021/03/07 15:08:00+00,Melder ,31.09778,-92.60973,Rapides,US,LA,3,3,Mar
3,Debris/Open Burning,2021/03/11 21:06:00+00,2021/03/31 15:00:00+00,Wrights Branch,36.72016,-84.38222,McCreary,US,KY,20,3,Mar
2,Cause not found,2021/03/09 01:33:00+00,2021/03/13 15:58:00+00,North Tar,37.48085,-92.03864,Texas,US,MO,5,3,Mar
142,Other Human Cause,2021/03/15 18:20:00+00,2021/06/09 18:59:59+00,Shanty,29.32988,-81.73337,Marion,US,FL,86,3,Mar
1,Other Human Cause,2021/01/18 20:48:59+00,2021/01/21 22:30:00+00,OAK,34.36049,-117.4338,San Bernardino,US,CA,3,1,Jan
4,Camping,2021/01/14 17:48:00+00,2021/01/31 15:33:00+00,Sherills Mill,29.15655,-81.90059,Marion,US,FL,17,1,Jan
60,Cause not found,2021/03/08 22:20:00+00,2021/03/15 18:20:00+00,Reuter,36.61124,-92.86858,Taney,US,MO,7,3,Mar
0,Cause not found,2021/03/20 23:48:59+00,2021/03/21 15:04:59+00,CHARLESTON,31.64347,-110.1544,Cochise,US,AZ,1,3,Mar
250,Investigated but Undetermined,2021/03/20 14:32:00+00,2021/03/26 14:00:00+00,RL 046 BATTLE RIVER,47.9282,-94.7464,Beltrami,US,MN,6,3,Mar
36,Cause not found,2021/03/03 20:48:00+00,2021/03/07 19:17:00+00,Pin Oak,36.95628,-92.95084,Christian,US,MO,4,3,Mar
20,Debris/Open Burning,2021/02/25 22:15:00+00,2021/03/01 18:00:00+00,PEPPER CREEK,36.318,-96.87492,Pawnee,US,OK,4,2,Feb
77,Debris/Open Burning,2021/03/07 20:10:00+00,2021/04/07 18:00:00+00,SCENIC,42.80884,-106.2809,Natrona,US,WY,31,3,Mar
6,Other Human Cause,2021/02/21 10:30:00+00,2021/03/05 15:59:59+00,WETLANDS 2,36.06076,-115.0133,Clark,US,NV,12,2,Feb
733,Cause not found,2021/03/08 16:54:00+00,2021/03/13 17:13:59+00,Turkey Spring,36.83052,-92.01273,Howell,US,MO,5,3,Mar
80,Incendiary,2021/03/20 20:12:00+00,2021/03/24 00:30:00+00,RL 048 SANDY LAKE,47.89204,-95.26306,Clearwater,US,MN,3,3,Mar
10,Cause not found,2021/03/08 18:36:00+00,2021/03/14 19:43:00+00,West Glade 2,36.66608,-92.84608,Taney,US,MO,6,3,Mar
68,Cause not found,2021/03/08 19:11:00+00,2021/03/12 00:59:59+00,PUNKIN,33.86297,-111.3127,Gila,US,AZ,3,3,Mar
10,Equipment,2021/03/10 19:56:00+00,2021/03/16 14:55:00+00,Sulphur Springs,39.617261,-82.163642,Perry,US,OH,6,3,Mar
232,Utilities,2021/03/01 20:53:00+00,2021/03/04 17:19:59+00,Highway 200,47.350278,-103.152222,McKenzie,US,ND,3,3,Mar
489,Cause not found,2021/02/28 00:27:59+00,2021/05/03 18:59:59+00,LITTLE,34.9831,-110.5538,Navajo,US,AZ,65,2,Feb
0,Debris/Open Burning,2021/01/19 20:43:18+00,2021/05/04 16:42:00+00,COLD,38.70495,-120.414417,El Dorado,US,CA,105,1,Jan
50,Other Human Cause,2021/01/20 21:12:00+00,2021/01/21 14:00:00+00,BK West Fork Assist,34.3224,-87.3255,Lawrence,US,AL,1,1,Jan
292,Cause not found,2021/03/09 20:09:00+00,2021/03/23 20:00:00+00,January,30.98945,-93.12823,Vernon,US,LA,14,3,Mar
12,Debris/Open Burning,2021/03/05 22:14:00+00,2021/03/22 12:59:59+00,TL Rocky Tower,33.13466,-86.17465,Clay,US,AL,17,3,Mar
68,Other Human Cause,2021/03/21 13:11:00+00,2021/03/29 15:00:00+00,SC Corn House Creek,33.64024,-85.64523,Cleburne,US,AL,8,3,Mar
1070,Cause not found,2021/03/08 18:36:00+00,2021/03/14 19:43:00+00,West Glade,36.66713,-92.84334,Taney,US,MO,6,3,Mar
88,Other Human Cause,2021/03/03 19:33:00+00,2021/03/16 15:30:00+00,Twin Peaks,37.16373,-113.5777,Washington,US,UT,13,3,Mar
25,Other Human Cause,2021/03/12 14:29:59+00,2021/03/31 15:00:00+00, Litton,36.60981,-84.30456,McCreary,US,KY,19,3,Mar
5,Camping,2021/03/19 15:33:00+00,2021/03/31 14:50:00+00,Bilderback 2,29.02311,-81.48302,Lake,US,FL,12,3,Mar
19,Investigated but Undetermined,2021/03/12 00:43:59+00,2021/07/06 17:00:00+00,BK Butler Branch,34.03628,-87.2222,Winston,US,AL,117,3,Mar
5,Firearms/Weapons,2021/03/19 22:04:00+00,2021/04/15 17:29:59+00,Swan Well,40.84129,-113.0115,Tooele,US,UT,27,3,Mar
0,Other Human Cause,2021/01/18 20:39:00+00,2021/01/21 22:30:00+00,ALRAY,34.31636,-117.4791,San Bernardino,US,CA,3,1,Jan
0,Camping,2021/03/14 21:06:00+00,2021/03/15 00:17:00+00,Tundra,33.66744,-111.5632,Maricopa,US,AZ,0,3,Mar
0,Cause not found,2021/03/21 23:35:59+00,2021/03/22 21:00:00+00,CANELO,31.42467,-110.4423,Cochise,US,AZ,1,3,Mar
44,Other Human Cause,2021/03/22 17:58:59+00,2021/04/02 23:44:00+00,Oder,37.46946,-92.31735,Wright,US,MO,11,3,Mar
0,Cause not found,2021/03/09 18:43:59+00,2021/03/13 19:33:00+00,Poague,36.8145,-92.99449,Taney,US,MO,4,3,Mar
0,Cause not found,2021/03/02 22:49:00+00,2021/03/10 22:44:59+00,Dalton,36.80587,-92.86668,Taney,US,MO,8,3,Mar
600,Debris/Open Burning,2021/03/22 16:11:00+00,2021/04/08 14:23:00+00,Warfield,44.21395,-85.86993,Manistee,US,MI,17,3,Mar
0,Debris/Open Burning,2021/03/13 18:45:32+00,2021/03/14 00:00:00+00,LG18-6046,45.2542,-112.6177,Beaverhead,US,MT,0,3,Mar
0,Other Human Cause,2021/03/16 19:00:47+00,2021/03/23 17:00:00+00,Edgewood,48.41485,-114.3055,Flathead,US,MT,7,3,Mar
40,Debris/Open Burning,2021/03/21 17:37:00+00,2021/03/25 17:16:00+00,Rock Creek,37.52497,-92.18029,Texas,US,MO,4,3,Mar
5,Cause not found,2021/03/07 21:56:00+00,2021/03/14 23:29:59+00,Black Knoll,40.75994,-112.7766,Tooele,US,UT,7,3,Mar
0,Equipment,2021/03/13 17:06:00+00,2021/03/14 02:00:00+00,Kops,25.97827,-80.90326,Collier,US,FL,0,3,Mar
1537,Incendiary,2021/03/22 14:40:00+00,2021/03/29 12:59:59+00,Piney Woods,31.45972,-88.73573,Wayne,US,MS,7,3,Mar
562,Cause not found,2021/03/23 16:54:00+00,2021/04/05 14:00:00+00,SQUARETOP ,31.90185,-109.7965,Cochise,US,AZ,13,3,Mar
1,Debris/Open Burning,2021/03/24 16:46:46+00,2021/04/08 18:59:59+00,Bald Rock,48.29273,-114.4423,Flathead,US,MT,15,3,Mar
0,Cause not found,2021/03/07 23:45:59+00,2021/03/13 15:45:00+00,Mopping,36.74349,-92.83938,Taney,US,MO,6,3,Mar
1,Cause not found,2021/03/08 17:10:00+00,2021/03/10 22:44:59+00,Creek,36.73504,-92.77998,Taney,US,MO,2,3,Mar
53,Other Human Cause,2021/03/22 00:00:00+00,2021/03/25 16:34:59+00,412A,36.90432,-92.0474,Howell,US,MO,4,3,Mar
1,Cause not found,2021/03/07 17:12:00+00,2021/03/17 19:44:00+00,Fork 2,36.92318,-92.00548,Howell,US,MO,10,3,Mar
1,Cause not found,2021/03/07 17:11:00+00,2021/03/17 19:43:00+00,Fork 1,36.92418,-92.00076,Howell,US,MO,10,3,Mar
0,Incendiary,2021/03/07 17:12:00+00,2021/03/17 19:44:00+00,Fork 3,36.92473,-92.00878,Howell,US,MO,10,3,Mar
3,Equipment,2021/03/24 20:53:31+00,2021/03/26 18:39:00+00,Mower,37.640563,-89.208062,Jackson,US,IL,2,3,Mar
34,Cause not found,2021/03/24 19:54:00+00,2021/03/26 23:00:00+00,Amber,31.26201,-92.70722,Rapides,US,LA,2,3,Mar
14,Other Human Cause,2021/03/16 18:20:00+00,2021/04/13 15:59:59+00,Tower,29.124,-81.549333,Lake,US,FL,28,3,Mar
1,Cause not found,2021/03/02 18:29:00+00,2021/03/17 19:50:59+00,Falcon,37.58448,-92.25893,Laclede,US,MO,15,3,Mar
60,Cause not found,2021/03/08 20:38:00+00,2021/03/14 14:35:59+00,Gibson,37.65866,-91.33987,Dent,US,MO,6,3,Mar
73,Cause not found,2021/03/04 20:18:00+00,2021/03/30 17:45:00+00,Henpeck,37.60019,-91.19376,Reynolds,US,MO,26,3,Mar
2,Cause not found,2021/03/07 22:05:59+00,2021/03/14 15:30:00+00,Sinking,37.42561,-91.27545,Dent,US,MO,7,3,Mar
3,Cause not found,2021/03/05 20:18:00+00,2021/03/30 17:45:00+00,391,37.55786,-91.30682,Reynolds,US,MO,25,3,Mar
5,Other Human Cause,2021/02/25 22:04:00+00,2021/04/16 17:02:00+00,Dry Branch ,37.57321,-91.33212,Dent,US,MO,50,2,Feb
0,Other Human Cause,2021/03/02 01:30:00+00,2021/06/16 16:44:59+00,Jayhawk,37.46238,-91.21323,Reynolds,US,MO,107,3,Mar
3,Cause not found,2021/03/10 14:26:00+00,2021/04/17 17:55:00+00,Marie,37.02546,-91.30035,Shannon,US,MO,38,3,Mar
78,Cause not found,2021/03/08 23:45:00+00,2021/04/17 18:00:00+00,Tattle,36.62529,-90.91257,Ripley,US,MO,40,3,Mar
12,Cause not found,2021/03/09 08:19:59+00,2021/04/17 17:44:00+00,Lazy C,36.81818,-91.34971,Oregon,US,MO,39,3,Mar
25,Cause not found,2021/03/07 23:35:59+00,2021/04/17 18:00:00+00,Big Barren,36.88853,-91.02315,Carter,US,MO,41,3,Mar
1,Cause not found,2021/03/04 17:50:00+00,2021/04/17 18:00:00+00,Pleasant ,37.0705,-90.49938,Wayne,US,MO,44,3,Mar
736,Other Human Cause,2021/03/25 23:29:59+00,2021/04/08 15:00:00+00,Bentley,31.55267,-92.52158,Grant,US,LA,14,3,Mar
33,Other Human Cause,2021/03/21 22:46:00+00,2021/03/27 16:31:00+00,Triangle,36.80554,-92.06197,Howell,US,MO,6,3,Mar
55,Cause not found,2021/03/19 22:47:59+00,2021/04/16 22:15:00+00,Krider Creek,36.76695,-92.69812,Ozark,US,MO,28,3,Mar
803,Cause not found,2021/03/20 03:52:00+00,2021/04/16 22:15:00+00,3 Sisters,36.751417,-92.741633,Ozark,US,MO,28,3,Mar
1751,Other Human Cause,2021/03/28 20:34:00+00,2021/04/28 21:00:00+00,North River,40.19225,-109.9847,Duchesne,US,UT,31,3,Mar
4434,Other Human Cause,2021/03/09 00:32:00+00,2021/03/21 18:59:59+00,Big Rocks,37.739833,-115.000883,Lincoln,US,NV,13,3,Mar
14,Debris/Open Burning,2021/03/13 22:33:00+00,2021/03/17 17:00:00+00,Pinto,39.47177,-115.8559,White Pine,US,NV,4,3,Mar
0,Undetermined,2021/03/21 19:28:00+00,2021/04/19 18:54:00+00,Jarvi,47.94197,-91.906271,St. Louis,US,MN,29,3,Mar
234,Other Human Cause,2021/03/28 23:29:00+00,2021/04/01 22:18:59+00,Prestige,43.06194,-102.7598,Oglala Lakota,US,SD,4,3,Mar
2,Other Human Cause,2021/03/28 21:43:59+00,2021/06/28 20:04:13+00,Spring,34.2494,-112.1119,Yavapai,US,AZ,92,3,Mar
53,Other Human Cause,2021/03/28 23:37:00+00,2021/06/10 19:18:59+00,Chiloquin Ridge,42.56283,-121.8367,Klamath,US,OR,74,3,Mar
2,Debris/Open Burning,2021/03/28 22:17:35+00,2021/04/08 18:59:59+00,McCaffery Rd,48.10921,-114.0525,Flathead,US,MT,11,3,Mar
0,Cause not found,2021/03/27 19:52:00+00,2021/03/30 00:59:59+00,MIDDLE,32.87007,-111.251,Pinal,US,AZ,2,3,Mar
0,Debris/Open Burning,2021/03/27 21:35:17+00,2021/04/08 18:59:59+00,Political Hill,48.01176,-114.2212,Flathead,US,MT,12,3,Mar
37,Debris/Open Burning,2021/03/26 22:25:23+00,2021/04/21 16:30:00+00,Little Bighorn,48.15738,-114.4359,Flathead,US,MT,26,3,Mar
12,Debris/Open Burning,2021/03/29 14:05:00+00,2021/04/22 16:05:59+00,Soda Lake,42.14401,-119.8568,Lake,US,OR,24,3,Mar
2224,Debris/Open Burning,2021/03/29 15:22:00+00,2021/08/16 15:40:00+00,Schroeder,44.08802,-103.3547,Pennington,US,SD,140,3,Mar
954,Other Human Cause,2021/03/29 19:41:00+00,2021/04/28 21:00:00+00,East Myton,40.18472,-110.0262,Duchesne,US,UT,30,3,Mar
7,Firearms/Weapons,2021/03/30 02:44:00+00,2021/04/13 22:25:00+00,Dolan,35.66295,-114.1481,Mohave,US,AZ,15,3,Mar
123,Investigated but Undetermined,2021/03/12 17:11:00+00,2021/03/22 18:43:59+00,Compressor,31.70315,-92.48683,Grant,US,LA,10,3,Mar
9,Debris/Open Burning,2021/03/29 16:05:59+00,2021/04/16 21:30:00+00,Keystone,43.89039,-103.4163,Pennington,US,SD,18,3,Mar
40,Cause not found,2021/03/29 19:02:00+00,2021/04/26 18:01:00+00,Bobcat,43.90871,-103.7185,Pennington,US,SD,28,3,Mar
9,Cause not found,2021/03/29 19:27:00+00,2021/03/30 16:44:59+00,MILL,40.71766,-106.2973,Jackson,US,CO,1,3,Mar
10,Investigated but Undetermined,2021/03/30 19:23:00+00,2021/04/09 15:25:00+00,Tower,39.531939,-82.267314,Hocking,US,OH,10,3,Mar
136,Utilities,2021/03/29 16:30:00+00,2021/04/07 18:59:59+00,244,43.88607,-103.4361,Pennington,US,SD,9,3,Mar
205,Cause not found,2021/03/30 17:26:00+00,2021/04/05 17:00:00+00,BRANTLEY,32.58124,-104.4204,Eddy,US,NM,6,3,Mar
0,Other Human Cause,2021/03/30 20:15:00+00,2021/03/31 21:30:00+00,Poston,33.98177,-114.4032,La Paz,US,AZ,1,3,Mar
0,Utilities,2021/03/30 20:03:00+00,2021/04/05 18:56:00+00,Picea,43.43124,-85.74193,Newaygo,US,MI,6,3,Mar
147,Lightning,2021/03/29 17:20:58+00,2021/04/14 20:00:00+00,North Lake Sylvia,34.89577,-92.82231,Perry,US,AR,16,3,Mar
30,Cause not found,2021/03/30 22:08:00+00,2021/03/31 15:00:00+00,Roughstock,40.4329,-110.00076,Duchesne,US,UT,1,3,Mar
211,Cause not found,2021/03/28 22:52:00+00,2021/06/03 22:44:59+00,BULL SPRINGS 0041 OD,44.41351,-120.5002,Deschutes,US,OR,67,3,Mar
402,Other Human Cause,2021/02/21 00:27:59+00,2021/03/08 16:10:00+00,Dub,33.35214,-110.446,Gila,US,AZ,16,2,Feb
0,Firearms/Weapons,2021/03/27 19:15:00+00,2021/03/27 19:50:00+00,TOE 1,36.44352,-114.9783,Clark,US,NV,0,3,Mar
23,Firearms/Weapons,2021/03/28 20:45:59+00,2021/03/31 05:00:00+00,TOE 2,36.44177,-114.9673,Clark,US,NV,2,3,Mar
1,Equipment,2021/03/30 23:00:59+00,2021/03/31 02:15:00+00,Scotts Trail,42.43559,-115.3486,Owyhee,US,ID,0,3,Mar
1,Camping,2021/03/30 22:40:00+00,2021/04/08 14:55:00+00,Grassy Prairie,29.03744,-81.83486,Marion,US,FL,9,3,Mar
23,Incendiary,2021/03/29 20:29:59+00,2021/03/30 18:00:00+00,HOLMAN,34.63427,-95.81587,Pittsburg,US,OK,1,3,Mar
148,Other Human Cause,2021/03/30 17:42:00+00,2021/05/03 15:59:59+00,COTTONWOOD,32.06741,-104.4523,Eddy,US,NM,34,3,Mar
470,Incendiary,2021/03/23 21:00:00+00,2021/04/16 17:00:00+00,EVANS,34.51613,-95.86808,Atoka,US,OK,24,3,Mar
6,Other Human Cause,2021/03/31 15:59:00+00,2021/04/01 20:31:00+00,BRUSH,35.36661,-117.6194,San Bernardino,US,CA,1,3,Mar
5,Debris/Open Burning,2021/03/31 21:43:53+00,2021/04/08 18:59:59+00,Swan Meadows,48.05656,-114.0189,Flathead,US,MT,8,3,Mar
3000,Cause not found,2021/03/10 20:00:00+00,2021/03/13 18:00:00+00,Clover,38.13164,-96.84902,Marion,US,KS,3,3,Mar
30,Investigated but Undetermined,2021/03/31 19:11:00+00,2021/05/20 15:36:00+00,Socholis Canyon,42.55899,-121.6616,Klamath,US,OR,50,3,Mar
10,Debris/Open Burning,2021/03/31 19:57:59+00,2021/04/16 17:26:00+00,Sugar Camp Hollow,37.55935,-91.06246,Reynolds,US,MO,16,3,Mar
4800,Utilities,2021/03/20 20:22:14+00,2021/03/23 21:16:28+00,Baffin,27.07373333,-97.5596,Kenedy,US,TX,3,3,Mar
11728,Utilities,2021/03/18 03:01:22+00,2021/03/25 21:52:13+00,King,26.953071,-98.087629,Brooks,US,TX,8,3,Mar
236,Utilities,2021/02/22 22:55:00+00,2021/05/07 17:00:00+00,2 Section Powerline ,38.41222,-96.52059,Chase,US,KS,74,2,Feb
967,Cause not found,2021/03/06 18:00:00+00,2021/03/15 17:00:00+00,TONY,36.27617,-96.29251,Osage,US,OK,9,3,Mar
22,Cause not found,2021/03/05 22:30:00+00,2021/03/15 17:00:00+00,BUCK CREEK,36.30522,-96.30186,Osage,US,OK,10,3,Mar
28,Debris/Open Burning,2021/04/01 00:48:00+00,2021/04/11 20:25:00+00,Magic Waters,42.69154,-114.9356,Twin Falls,US,ID,11,4,Apr
1,Debris/Open Burning,2021/03/31 22:59:00+00,2021/04/11 02:10:00+00,Dog Creek,43.03278,-114.7381,Gooding,US,ID,10,3,Mar
0,Firearms/Weapons,2021/03/30 22:46:00+00,2021/04/02 21:11:00+00,79,43.47849,-103.3419,Fall River,US,SD,3,3,Mar
